,TCGA.3C.AAAU.01,TCGA.3C.AALI.01,TCGA.A1.A0SB.01
mrna_HEATR1,0.46927436967101155,-0.8277275645424411,0.4519137447012156
mrna_KCNJ6,-0.17925005903977084,-0.558047630458889,-0.6955014096590724
mrna_MIR3671,0.28098541948459776,-0.3559641850344247,0.00877830057523361
mrna_MAP3K10,1.433688849564051,1.3434564532071365,-0.6923240355643548
mrna_CTDSPL2,1.1808742666365344,0.4160189770228333,1.7518367326172855
mrna_OCM,0.3905395508008352,1.535478522251507,0.3064599285642512
mrna_CCDC121,0.9859497339913786,2.116686895547804,0.33567975206305617
mrna_GNS,4.298060040281261,0.17251802734517818,-0.7709133131076515
mrna_ANO1,1.2847000980133718,0.007734552470814853,0.5045921281754547
mrna_ALG12,0.21442136092855388,0.6775718840300451,0.05913631742707497
mrna_RNF149,-0.9403965765042613,1.6924256741438086,-2.2434458094345255
mrna_KPNA4,0.6582107183970692,1.768791083498555,-0.5852247943538724
mrna_ZFP62,1.5370916888543888,-0.28442066844957364,0.4313302677367119
mrna_NCF4,-1.2881496133670092,0.16570841350481197,-1.869811613790549
mrna_KDM1B,0.7873531661063305,0.25677595229009276,-0.30156537194085736
mrna_PRELP,-0.5312802661185873,-0.29102036679880383,2.2732660080011966
mrna_MSH5.SAPCD1,1.1009476725256306,1.3328720555286275,0.07974520505188185
mrna_TTC22,0.07174279496161473,0.4359663840623904,0.17071000499112726
mrna_ABCA3,1.854673215000046,0.8167288446387218,-0.5959631735681392
mrna_PYM1,-1.9272051278173108,-0.5991567138496708,-1.1003743844021712
mrna_LOC440434,0.6040950476429992,3.1658185924069766,0.4689355928344129
mrna_SLC7A10,-0.7536150872333985,-0.1279239850352036,-0.5782253028986717
mrna_CCNC,-2.1845479876595,-0.7745054539307159,0.5418167552824512
mrna_LOC101928402,1.1021500977545164,-0.7431268588136599,-0.7758078337882132
mrna_RGS7,-0.5094849056420959,1.51634910207139,-0.5255999968048991
mrna_PLN,0.5457745996068851,1.0251560290036088,5.104147938419419
mrna_SIVA1,-1.2744696144651917,1.4022562065912656,-0.750430261244061
mrna_TMUB2,0.803363789239903,-0.4683008426041527,0.7433420119883775
mrna_LRIF1,0.23812861242672437,1.373241238640697,-0.6936306843312315
mrna_SGK3,-1.0603970854650022,-0.981256132095532,-0.5254522760573301
mrna_TCEANC,3.5115901189230576,1.7267163089057262,-0.1066130092291798
